hospital,hos_long,hos_lat,patient,pat_long,pat_lat,distance_km,rn
Ching-chyuan Hospital,120.6663745,24.21705918,Ada,120.64437028729431,24.191113257835656,3,1
Lin Shin Hospital,120.6403479,24.1490126,Ada,120.64437028729431,24.191113257835656,3,2
Taichung Armed Forces General Hospital Zhongqing Branch,120.672018,24.162466,Ada,120.64437028729431,24.191113257835656,3,3
Cheng Ching General Hospital,120.68161,24.142603,Ada,120.64437028729431,24.191113257835656,5,4
"Taichung Hospital,Ministry of Health and Welfare",120.6762712,24.1406262,Ada,120.64437028729431,24.191113257835656,5,5
Taichung Tzu Chi Hosptial,120.721608,24.195792,Ada,120.64437028729431,24.191113257835656,5,6
"Feng-Yuan Hospital, Ministry Of Health And Welfare",120.725292,24.242707,Ada,120.64437028729431,24.191113257835656,7,7
Jen-ai Hospital Dali Branch,120.680434,24.109261,Ada,120.64437028729431,24.191113257835656,7,8
Taichung Armed Forces General Hospital,120.730557,24.150646,Ada,120.64437028729431,24.191113257835656,7,9
Wuri Lin Shin Hospital,120.598173,24.109851,Ada,120.64437028729431,24.191113257835656,7,10
Asia University Hospital,120.686043,24.053652,Ada,120.64437028729431,24.191113257835656,10,11
Daja Lee General Hospital,120.618073,24.350784,Ada,120.64437028729431,24.191113257835656,12,12
Cheng Ching General Hospital,120.68161,24.142603,Alex,120.69195059521647,24.160304147967743,2,1
Taichung Armed Forces General Hospital Zhongqing Branch,120.672018,24.162466,Alex,120.69195059521647,24.160304147967743,2,2
"Taichung Hospital,Ministry of Health and Welfare",120.6762712,24.1406262,Alex,120.69195059521647,24.160304147967743,2,3
Taichung Armed Forces General Hospital,120.730557,24.150646,Alex,120.69195059521647,24.160304147967743,3,4
Jen-ai Hospital Dali Branch,120.680434,24.109261,Alex,120.69195059521647,24.160304147967743,4,5
Lin Shin Hospital,120.6403479,24.1490126,Alex,120.69195059521647,24.160304147967743,4,6
Taichung Tzu Chi Hosptial,120.721608,24.195792,Alex,120.69195059521647,24.160304147967743,4,7
Ching-chyuan Hospital,120.6663745,24.21705918,Alex,120.69195059521647,24.160304147967743,5,8
"Feng-Yuan Hospital, Ministry Of Health And Welfare",120.725292,24.242707,Alex,120.69195059521647,24.160304147967743,7,9
Wuri Lin Shin Hospital,120.598173,24.109851,Alex,120.69195059521647,24.160304147967743,7,10
Asia University Hospital,120.686043,24.053652,Alex,120.69195059521647,24.160304147967743,8,11
Daja Lee General Hospital,120.618073,24.350784,Alex,120.69195059521647,24.160304147967743,14,12
Taipei City Hospital Zhongxing Branch,121.5093209,25.0509696,Bella,121.51035579666201,25.055837685454385,1,1
Taipei City Hospital Heping Branch,121.519236,25.029228,Bella,121.51035579666201,25.055837685454385,2,2
Pojen General Hospital,121.5576835,25.0499097,Bella,121.51035579666201,25.055837685454385,3,3
Taipei Chang Gung Memorial Hospital,121.5496556,25.0555992,Bella,121.51035579666201,25.055837685454385,3,4
Taiwan Adventist Hospital,121.547339,25.0480541,Bella,121.51035579666201,25.055837685454385,3,5
Tri-Service General Hospital Songshan Branch,121.557672,25.054373,Bella,121.51035579666201,25.055837685454385,3,6
West Garden Hospital,121.494405,25.027743,Bella,121.51035579666201,25.055837685454385,3,7
Taipei City Hospital Yangming Branch,121.5315656,25.105194,Bella,121.51035579666201,25.055837685454385,4,8
Taipei City Hospital Zhongxiao Branch,121.5860755,25.0465327,Bella,121.51035579666201,25.055837685454385,5,9
Kang-Ning General Hospital,121.6089476,25.0758907,Bella,121.51035579666201,25.055837685454385,7,10
Taipei City Hospital Zhongxiao Branch,121.5860755,25.0465327,Bob,121.5862,25.03618,1,1
Pojen General Hospital,121.5576835,25.0499097,Bob,121.5862,25.03618,3,2
Taipei Chang Gung Memorial Hospital,121.5496556,25.0555992,Bob,121.5862,25.03618,3,3
Taiwan Adventist Hospital,121.547339,25.0480541,Bob,121.5862,25.03618,3,4
Tri-Service General Hospital Songshan Branch,121.557672,25.054373,Bob,121.5862,25.03618,3,5
Kang-Ning General Hospital,121.6089476,25.0758907,Bob,121.5862,25.03618,4,6
Taipei City Hospital Heping Branch,121.519236,25.029228,Bob,121.5862,25.03618,5,7
Taipei City Hospital Zhongxing Branch,121.5093209,25.0509696,Bob,121.5862,25.03618,5,8
Taipei City Hospital Yangming Branch,121.5315656,25.105194,Bob,121.5862,25.03618,6,9
West Garden Hospital,121.494405,25.027743,Bob,121.5862,25.03618,6,10
Tri-Service General Hospital Keelung Branch - Zhengrong Branch,121.764267,25.144625,Camille,121.78334108134315,25.129633675459882,2,1
"Keelung Hospital, Ministry of Health and Welfare",121.748322,25.130456,Camille,121.78334108134315,25.129633675459882,3,2
Taiwan Miner's General Hospital,121.733254,25.107904,Camille,121.78334108134315,25.129633675459882,4,3
"Tainan Hospital, Ministry of Health and Welfare",120.208805,22.99638,Carl,120.20684284649676,23.008603244273242,1,1
"Chest hospital Datong Branch, Health and Welfare Ministry",120.211597,22.987205,Carl,120.20684284649676,23.008603244273242,2,2
Kuo General Hospital,120.198827,22.994984,Carl,120.20684284649676,23.008603244273242,2,3
Tainan Sin-Lau Hospital,120.212807,22.989158,Carl,120.20684284649676,23.008603244273242,2,4
Kaohsiung Veterans General Hospital Tainan Branch,120.240268,22.997284,Carl,120.20684284649676,23.008603244273242,3,5
An Nan Hospital,120.223192,23.064232,Carl,120.20684284649676,23.008603244273242,4,6
"Chest Hospital, Ministry of Health and Welfare",120.241821,22.975271,Carl,120.20684284649676,23.008603244273242,4,7
